title,abstract
Erwhi Hedgehog: A New Learning Platform for Mobile Robotics,"Erwhi Hedgehog is one of the smallest mobile robots. It enables mapping and vision analysis, and also displays machine learning features. Behaving like a small, curious animal, eager to explore the surroundings, the robot can be used to test navigation, mapping and localization algorithms, thus allowing the prototyping of new hardware and software for robotics. This application is particularly handy for educational robotics, at both high school and university level. On the one hand, the project is fully open source and open hardware under MIT license and available on Github, so everyone can build his/her own Erwhi Hedgehog robot with the aid of a step-by-step guide. On the other hand, students with more advanced knowledge can use it as a prototyping platform for developing new software programs and features. Erwhi uses Intel RealSense, AAEON UP Squared and Myriad X VPU technologies, with software based on the Robotic Operating System (ROS), and implements SLAM algorithms, such as RTAB-Map. The machine learning aspect is based on the OpenVINO framework and a dedicated ROS wrapper was used. The software package includes all the programs needed to create a Gazebo simulation. In terms of hardware, motor control is based on an STM32 microcontroller and the Arduino software, and the robot works on the differential drive unicycle model. Finally, Erwhi is compatible with AWS RoboMaker tools."
Towards the Achievement of Path Planning with Multi-robot Systems in Dynamic Environments,"Recent advances in technology lead to the use of robotic systems as part of the modern working environment. Single and multiple robotic systems work closely with humans to accomplish desired tasks, and the recent advancements have made the usage of multi-robot teams more appealing. One critical problem in utilizing the robot’s full potential is the Path planning problem and, while in the case of a single’s robot, path planning has been extensively investigated, in the case of Multiple Robotic Systems (MRS), especially in dynamic changing environments, there are significant open challenges. Based on the statement mentioned above, a detailed survey has been conducted to highlight these challenges and identify potential solutions. In addition, the beneficial use of MRS is presented, as opposed to single robotic systems through the literature, and already-achievable industry-related results are provided. It is concluded that the practical application of path planning in dynamic environments using MRS is still a field of research and development, requiring the community to engage more with practical applications."
Making Sense of Maritime Simulators Use: A Multiple Case Study in Norway,"This paper reports a multiple case study of a training center collaboration with three offshore companies and a coastline authority. Through a qualitative inquiry, we utilized the actor-network theory to analyze the common understanding of simulator use in these organizations. The paper argues that the simulator itself is an actor that can integrate shared interests with other actors to establish an actor-network. Such an actor-network expands simulator use beyond purely training purposes. It advocates that the simulator is a medium between maritime academia and industry and aligns it with the same actor-network to facilitate the process of “meaning construction.” Such a meaning construction process offers simulator-based training with a valuable definition of the learning outcomes. It helps clarifying who will gain the benefits from simulator use in the future, as well as when and on what basis. The paper also reflects on the benefits and limitations of utilizing a multiple case study in the maritime domain."
How School Has Changed for 3–14-year-Old Students: An Italian Case Study,"This chapter summarizes the actions implemented by the Comprehensive Institute ‘Cuneo Oltrestura’ during the COVID-19 emergency. This Italian school includes kindergarten, primary, and secondary schools. The Institute had already in place a variety of technological tools well integrated into the daily lessons. This has favoured the mandatory shift from a face to face methodology to a distance learning that the lockdown situation has forced. The characteristics of the new learning environment for each school type are summarized as well as, the experience of “adopting schools” to support other schools in implementing distance learning."
"Concept, Physical Design and Simulator of IRYS Social Robot Head","The paper describes concept behind IRYS social robot and a system of accompanying tools for application in the education and entertainment areas. Some important developments in these areas are pointed out. The concept of a multi-faceted solution of the system is described, which includes the robot and its high fidelity computer simulator. Main assumptions for the robot high-level control system are given, including the concept of lesson scenarios. Because the system is already under development, its current state is described and in particular the current state of the robot head, neck and upper trunk (a bust), where important mechatronic aspects are highlighted. Some illustrative examples of emotions expressed by means of the developed robot bust and its simulator are presented. Possible directions for further development are indicated."
"The MRS UAV System: Pushing the Frontiers of Reproducible Research, Real-world Deployment, and Education with Autonomous Unmanned Aerial Vehicles","We present a multirotor Unmanned Aerial Vehicle (UAV) control and estimation system for supporting replicable research through realistic simulations and real-world experiments. We propose a unique multi-frame localization paradigm for estimating the states of a UAV in various frames of reference using multiple sensors simultaneously. The system enables complex missions in GNSS and GNSS-denied environments, including outdoor-indoor transitions and the execution of redundant estimators for backing up unreliable localization sources. Two feedback control designs are presented: one for precise and aggressive maneuvers, and the other for stable and smooth flight with a noisy state estimate. The proposed control and estimation pipeline are constructed without using the Euler/Tait-Bryan angle representation of orientation in 3D. Instead, we rely on rotation matrices and a novel heading-based convention to represent the one free rotational degree-of-freedom in 3D of a standard multirotor helicopter. We provide an actively maintained and well-documented open-source implementation, including realistic simulation of UAV, sensors, and localization systems. The proposed system is the product of years of applied research on multi-robot systems, aerial swarms, aerial manipulation, motion planning, and remote sensing. All our results have been supported by real-world system deployment that subsequently shaped the system into the form presented here. In addition, the system was utilized during the participation of our team from the Czech Technical University in Prague in the prestigious MBZIRC 2017 and 2020 robotics competitions, and also in the DARPA Subterranean challenge. Each time, our team was able to secure top places among the best competitors from all over the world."
Learning Robotics: a Review,"Purpose of Review With the growing interest for STEM/STEAM, new robotic platforms are being created with different characteristics, extras, and options. There are so many diverse solutions that it is difficult for a teacher/student to choose the ideal one. This paper intends to provide an analysis of the most common robotic platforms existent on the market. The same is happening regarding robotic events all around the world, with objectives so distinctive, and with complexity from easy to very difficult. This paper also describes some of those events which occur in many countries. Recent Findings As the literature is showing, there has been a visible effort from schools and educators to teach robotics from very young ages, not only because robotics is the future, but also as a tool to teach STEM/STEAM areas. But as time progresses, the options for the right platforms also evolve making difficult to choose amongst them. Some authors opt to first choose a robotic platform and carry on from there. Others choose first a development environment and then look for which robots can be programmed from it. Summary An actual review on learning robotics is here presented, firstly showing some literature background on history and trends of robotic platforms used in education in general, the different development environments for robotics, and finishing on competitions and events. A comprehensive characterization list of robotic platforms along with robotic competitions and events is also shown."
Usable and Accessible Robot Programming System for People Who Are Visually Impaired,"In the 1960s, Papert introduced Logo language that commanded a graphic turtle. These were the first advances in the field of educational robotics. Many environments were created in this theme; however, most programming environments are highly graphical, so they do not provide accessible interfaces for visually impaired users. Thus, our research presents challenges and recommendations in terms of usability and accessibility in designing a robot programming environment for people who are visually impaired. We conjectured that by using a programming language to guide a robot in a virtual environment, the person who is visually impaired could better understand orientation and mobility skills. Hence, we created the GoDonnie programming language based on the Logo language. GoDonnie runs in a programming environment called Donnie. We show all the design process of Donnie, that was based on interactive design. Participates in this study, people who are visually impaired and sighted programming professors. Results indicate that GoDonnie and Donnie have good usability, supports the development of orientation and mobility in visually impaired people, and meets the expectations regarding the programming environment. Finally, we created a set of design guidelines for developing robot programming environments for people who are visually impaired."
Dimensions of robotic education quality: teachers’ perspectives as teaching assistants in Thai elementary schools,"Educational robots have been used in many countries as teaching assistants in elementary schools but robotic education quality is not well established in Thailand. The primary objective of this study was to identify and confirm quality dimensions in robotic education from the teachers’ perspectives. The sample size was 510 teachers who were observed in Thai elementary schools. Confirmatory Factor Analysis (CFA) indicated a good fit of a six-factor model to the observed data. The construct of CFA revealed six dimensions of robotic education quality as Social interaction, Cognitive function, Teaching method, Learner characteristics, Main features and Content . Results were similar to previous studies. Prototype development of an educational robot was proposed in relation to the Thai educational context. Further research, including large random comparative studies, needs to be performed."
A CNN-Based Grasp Planning Method for Random Picking of Unknown Objects with a Vacuum Gripper,"Robotic grasping is still challenging due to limitations in perception and control, especially when the CAD models of objects are unknown. Although some grasp planning approaches using computer vision have been proposed, these methods can be seen as open-loop grasp planning methods and are often not robust enough. In this paper, a novel grasp planning method combining CNN-based quality prediction and closed-loop control (CNNB-CL) is proposed for a vacuum gripper. A large-scale dataset is generated for CNN training, which contains more than 2.3 million synthetic grasps and their grasp qualities evaluated by grasp simulations with 3D models. Unlike other neural networks which predict grasp success by assigning a binary value or grasp quality level by assigning an integer value, the proposed CNN predicts the grasp quality via a linear regression architecture. Additionally, the method adjusts the grasp strategies and detects the optimal grasp based on feedback from a force-torque sensor. Various simulations and physical experiments prove that the CNNB-CL method is robust for random noise disturbance in observation and compatible with different depth cameras and vacuum grippers. The proposed method finds the optimal grasp from 2,000 candidates within 300 ms and achieves a 92.18% average success rate for different vacuum grippers, which outperforms the state-of-the-art methods regarding success rate and robustness."
Lessons from Delivering a STEM Workshop Using Educational Robots Given Language Limitations,"Educational robots are increasingly being used in schools as learning tools to support the development of skills such as computational thinking because of the growing number of technology-related jobs. Using robots as a tool inside the classroom has been proved to increase motivation, participation and inclination towards STEM subjects at both primary and secondary levels; however, language has usually not been considered as a mitigating factor. This paper reports our experience delivering nine workshops in English, using Thymio robots, to over two hundred students aged 9–12 across a week in the French cities of Nancy and Metz. Our goal was to test whether students would still have fun, learn something new and gain an interest in STEM even when the workshop was conducted in a foreign language. Our results indicate that using language that is easy to understand, although foreign, has a strong direct correlation (p $$\sim 10^{-3}$$ ) with having fun and that the latter positively affects learning and increased interest in STEM."
A Guide for 3D Mapping with Low-Cost Sensors Using ROS,"Open source software and low-cost sensors bring unquestionable advantages to the robotics community, facilitating the access to a wide range of robotic applications to virtually anyone, and playing an important role in recent advances. With the progressive overthrown of the cost barrier, development of robotic solutions has become more widespread among our society, as witnessed by the increase of service robotic applications to consumers. Despite the ease of access to low-cost sensors nowadays, knowledge of sensor integration and robotics middleware is still imperative to design successful robotic solutions. In this tutorial chapter, we provide an educational guide that leverages open source tools, such as the Robot Operating System (ROS), and low-cost sensors, such as the Microsoft Kinect v2, to design a full 3D indoor Mapping system. The ultimate goal of the system is to create a comprehensive and detailed 3D map of any indoor environment. Besides going through all the key steps to setup such a system and presenting interactive results, we also provide an experimental dataset that we hope can be useful to the community in the future."
Improving Students’ Concepts About Newtonian Mechanics Using Mobile Robots,"In this paper we proposed an educational robotics project using MARRtino mobile robot to students of Italian high schools, aged from 15 to 19 years old. The MARRtino Educational Robot for high school project (MHS) lasted 70 h during the 2017/2018 school year. Students teams built a mobile robot and programmed it to participate to RomeCup 2018 competition and to make experiments in their school Physics Laboratory. We measured if the educational robotics activity improved students Physics concepts learning, Technology perceptions and attitudes, and perception of collaborative work attitudes. Moreover, the by-product of the educational activity was to broaden participation of young students in the technology field and to enrich the high school Physics Laboratories with a new technological and educational tool, a mobile robot."
Vision-Based Autonomous Navigation with Evolutionary Learning,"In this paper, we propose a vision-based autonomous robotics navigation system, it uses a bio-inspired optical flow approach using the Hermite transform and a fuzzy logic controller, the input membership functions were tuned applying a distributed evolutionary learning based on social wound treatment inspired in the Megaponera analis ant. The proposed method was implemented in a virtual robotics system using the V-REP software and in communication con MATLAB. The results show that the optimization of the input fuzzy membership functions improves the navigation behavior against an empirical tuning of them."
Teaching with Open-Source Robotic Manipulator,"In this paper we present and evaluate the usage of an open-source robotic manipulator platform, that we have developed, in the context of various educational scenarios that we have conducted. The system was tested in multiple diverse learning scenarios, ranging from a summer school for primary-school students, to the course at the university level study. We show that the introduction of the system in the educational process improves the motivation as well as acquired knowledge of the participants."
Toward a Smart Pedagogy: Devising a Methodology for Innovation,"A plethora of practical suggestions could be considered to make pedagogy smarter, more active, and attractive to students while simultaneously being efficient and obtaining results. Creative suggestions are not always innovative. In order to achieve innovation, an interesting method is proposed by Jean-Charles Cailliez and described here, consisting of four main steps: (i) following the path indicated by Boethius and Thomas Aquinas in the Middle Ages to acquire a mens ingeniosa , a kind of creative imagination resulting in inspiration , properly obtained from a few conditions and possibilities, restricted by appropriate observations, and underpinned by correct prospections; (ii) insight and enlightenment for the ideation of creativity will be greatly facilitated by co-design within a team; (iii) after the ideation, generated by inspiration, then comes the time for implementation , that is, creating prototypes of projects in an interactive manner and generating pedagogical actions capable of being tested by experimentation; and (iv) innovation , when the idea materializes itself and may be carried out and be useful. Nevertheless, innovation requires steps of its own, such as incubation, creation of a pilot project, testing, acquiring value, and devising possible uses. For any hypothetical use of an idea, creativity indicates when, how, and in which contexts we should use it. Next, we must design an experiment in order to know how efficient of a pedagogical strategy it is and, eventually, have such resource available for specific, didactic goals. Pedagogy should not be centered only on unique and exclusive resources, but ensure an articulated relationship with other resources. A final discussion is proposed considering whether a smart pedagogy will require smart technologies, with some indications about the importance of the role of advanced technologies, such as artificial intelligence, in such innovation scenarios."
Exposing Robot Learning to Students in Augmented Reality Experience,"This paper considers a learning process in which the student teaches the robot new tasks, such as lifting unknown weights, via reinforcement learning procedure. Using CAD software, we ran virtual trials using the robot’s digital twin in place of physical robot trials. When performing the task, the robot measures and sends the value of the weight to an IoT controller implemented on the ThingWorx platform and receives parameters of the optimal posture found through the virtual trials. When we presented the robot learning process to high school students they had difficulty fully understanding the robot’s dynamics and selection of posture parameters. To address this difficulty, we developed an augmented reality interface which allows students to visualize robot postures on the digital twin and monitor the change in parameters (such as the center of gravity) measured by virtual sensors. The student can select a weightlifting posture and control the robot to implement it."
Augmented intelligence in educational data mining,"Educational data mining (EDM) processes have shifted towards open-ended processes with visualizations and parameter and predictive model adjusting. Data and models in hyperdimensions can be visualized for end-users with popular data mining platforms such as Weka and RapidMiner. Multiple studies have shown how the adjusting and even creating the decision tree classifiers help EDM end-users to better comprehend the dataset and the context where the data has been collected. To harness the power of such open-ended approach in EDM, we introduce a novel Augmented Intelligence method and a cluster analysis algorithm Neural N-Tree . These contributions allow EDM end-users to analyze educational data in an iterative process where the knowledge discovery and the accuracy of the predictive model generated by the algorithm increases over time through the interactions between the models and the end-users. In contrast to other similar approaches, the key in our method is in the model adjusting and not in parameter tuning. We report a study where the potential EDM end-users clustered data from an education setting and interacted with Neural N-Tree models by following Augmented Intelligence method. The findings of the study suggest that the accuracy of the models evolve over time and especially the end-users who have a adequate level of knowledge from data mining benefit from the method. Moreover, the study indicates that the knowledge discovery is possible through AUI."
Humanoid Robots in Education: A Short Review,"Robots are becoming useful parts of the education ecosystem with their various capabilities ranging from the ability to perceive people and their environment to the ability to reason and rationalize situations and emotions of people. These robots are also equipped with multimodal interaction capabilities and, equally important, have a physical presence. Humanoid robots, with their humanlike appearance, add another dimension of humanlike body language and social signaling capabilities: keys for more natural and intuitive human-robot Humanoid robot in education Educational robots interaction. This chapter presents the applications of humanoid robots in education. The aim of this chapter is not to provide a complete review of all ongoing research works in robot-in-the-loop education but to create awareness about various educationally oriented applications of humanoid robots. The chapter will also discuss the set of the key capabilities such robots should possess, some major R&D challenges, and some ethical and social issues. Therefore, the chapter aims to serve as basis for further investigation for the interested readers."
Middleware for Multi-robot Systems,"Recent advances in robotics technology have made it viable to assign complex tasks to large numbers of inexpensive robots. The robots as an ensemble form into a multi-robot system (MRS), which can be utilized for many applications where a single robot is not efficient or feasible. MRS can be used for a wide variety of application domains such as military, agriculture, smart home, disaster relief, etc. It offers higher scalability, reliability, and efficiency as compared to single-robot system. However, it is nontrivial to develop and deploy MRS applications due to many challenging issues such as distributed computation, collaboration, coordination, and real-time integration of robotic modules and services. To make the development of multi-robot applications easier, researchers have proposed various middleware architectures to provide programming abstractions that help in managing the complexity and heterogeneity of hardware and applications. With the help of middleware, an application developer can concentrate on the high-level logic of applications instead of worrying about low-level hardware and network details. In this chapter, we survey state of the art in both distributed MRS and middleware being used for developing their applications. We provide a taxonomy that can be used to classify the MRS middleware and analyze existing middleware functionalities and features. Our work will help researchers and developers in the systematic understanding of middleware for MRS and in selecting or developing the appropriate middleware based on the application requirements."
